City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,AvgTemperature,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Saint Petersburg,Russia,4.4,2.2,0.63,1.96,524.45,344.27,102.17,6.96,26.27,645.94,0.24,0.26,0.61,0.59,0.62,,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,59.95,30.3167,5351935.0,,,,,,,,,,,,,,,,,
Istanbul,Turkey,3.82,3.06,0.33,1.84,291.55,177.72,59.33,14.2,25.1,436.0,0.23,0.22,0.52,0.69,0.69,1.0,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,41.01,28.9603,15154000.0,54.9,0.8,1.9,9.6,8.4,1.6,1.0,9.2,0.8,4.8,0.5,0.2,0.6,1.6,6.0,7.4,0.5
İzmir,Turkey,3.06,2.29,0.29,1.56,212.22,128.36,51.07,12.89,20.64,392.07,0.21,0.24,0.72,0.73,0.6,,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,38.4127,27.1384,4320519.0,,,,,,,,,,,,,,,,,
Helsinki,Finland,8.0,6.5,1.54,3.87,986.93,758.13,82.66,22.31,34.54,2382.56,0.54,0.55,0.75,0.77,0.13,1.0,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,60.1756,24.9342,642045.0,96.0,4.2,7.3,5.7,3.1,9.6,4.0,4.2,6.7,4.3,7.6,10.0,9.8,8.0,3.0,1.1,7.4
Chisinau,Moldova,4.15,1.04,0.59,1.25,244.49,177.96,113.46,8.58,26.64,286.95,0.31,0.22,0.76,0.85,0.77,,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,47.0056,28.8575,685900.0,,,,,,,,,,,,,,,,,
Milan,Italy,8.0,5.0,0.4,1.46,1099.67,731.69,163.97,28.93,66.62,1601.0,0.56,0.34,0.56,0.72,0.67,1.0,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,45.4669,9.19,1351562.0,71.4,3.5,6.3,8.7,3.7,9.3,9.0,2.9,2.4,7.8,1.0,3.0,3.3,0.2,4.0,2.7,3.6
Cairo,Egypt,4.51,1.69,0.29,1.65,188.0,109.76,25.79,14.77,26.19,221.7,0.22,0.15,0.5,0.45,0.92,1.0,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,30.0561,31.2394,19372000.0,,,,,,,,,,,,,,,,,
Banja Luka,Bosnia and Herzegovina,3.58,1.02,0.48,0.85,219.72,159.73,141.04,21.34,20.7,430.69,,,,,,,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,44.7667,17.1833,199191.0,,,,,,,,,,,,,,,,,
Baku,Azerbaijan,4.22,0.84,0.43,2.15,290.07,157.97,42.65,15.51,30.43,294.03,0.22,0.18,0.7,0.44,0.77,,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,40.3667,49.8352,2181800.0,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,4.25,1.43,0.73,1.99,309.42,186.98,22.64,27.53,24.59,498.68,0.23,0.25,0.38,0.79,0.66,1.0,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,20.6767,-103.3475,5253000.0,71.6,7.2,3.6,5.8,10.0,3.3,1.4,9.6,0.1,4.3,4.6,2.4,1.0,2.8,4.0,9.6,1.9
Kathmandu,Nepal,5.56,2.38,0.28,1.54,155.63,100.89,24.92,16.66,24.02,184.17,0.21,0.14,0.64,0.57,0.96,1.0,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,27.7167,85.3667,975453.0,,,,,,,,,,,,,,,,,
Hanoi,Vietnam,3.88,0.78,0.59,1.57,318.43,192.28,67.49,9.41,24.06,354.62,0.25,0.2,0.63,0.56,0.89,1.0,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,21.0245,105.8412,7785000.0,,,,,,,,,,,,,,,,,
Ho Chi Minh City,Vietnam,3.87,0.78,0.47,1.72,421.19,284.19,51.25,10.42,21.48,347.14,0.26,0.18,0.46,0.59,0.93,,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,10.8167,106.6333,13312000.0,,,,,,,,,,,,,,,,,
Mexico City,Mexico,4.77,1.91,0.66,2.0,550.18,342.38,30.09,26.34,49.56,596.3,0.27,0.25,0.31,0.65,0.83,1.0,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,19.4333,-99.1333,20996000.0,70.3,5.2,2.5,5.9,8.8,3.9,1.4,9.5,4.0,4.6,4.6,2.4,1.0,3.1,3.0,9.4,1.0
Rome,Italy,8.0,5.0,0.38,1.28,987.37,679.27,171.15,29.64,57.77,1466.06,0.53,0.33,0.48,0.59,0.67,1.0,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,41.8931,12.4828,2872800.0,65.0,1.4,2.0,9.3,3.8,4.4,9.0,4.0,4.6,6.6,1.0,3.0,3.3,0.4,4.5,4.9,2.8
Monterrey,Mexico,4.31,1.68,0.79,2.28,342.55,207.9,49.81,25.84,34.28,695.46,0.27,0.31,0.5,0.67,0.72,1.0,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,25.6667,-100.3,4295000.0,72.2,6.4,3.3,4.2,9.9,3.6,1.4,9.4,5.6,4.3,4.6,2.4,1.0,1.1,3.0,9.5,2.5
Yekaterinburg,Russia,4.12,1.47,0.46,1.65,332.66,232.83,113.13,7.61,35.51,537.99,0.21,0.3,0.53,0.51,0.77,,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,56.8356,60.6128,1468833.0,,,,,,,,,,,,,,,,,
Sarajevo,Bosnia and Herzegovina,4.08,1.79,0.51,1.28,254.49,170.61,140.53,22.77,26.5,486.12,0.27,0.35,0.53,0.57,0.68,,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,43.8667,18.4167,275524.0,,,,,,,,,,,,,,,,,
Kharkiv,Ukraine,3.75,0.88,0.4,1.03,346.56,217.86,117.46,5.57,18.58,337.4,0.2,0.2,0.52,0.47,0.56,,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,50.0,36.2292,1446107.0,,,,,,,,,,,,,,,,,
Kyiv,Ukraine,3.75,1.13,0.49,1.17,589.81,340.8,98.74,5.11,20.92,516.75,0.21,0.25,0.53,0.56,0.66,1.0,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,50.45,30.5236,2967000.0,,,,,,,,,,,,,,,,,
Calgary,Canada,6.87,4.81,1.59,3.14,833.74,661.22,132.57,54.67,40.58,2956.33,0.49,0.75,0.66,0.76,0.24,,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,51.05,-114.0667,1239220.0,,,,,,,,,,,,,,,,,
